TIME,GDP,Immigrant,Investment,Rate,CPI,Unemployment
2017-Q4,0.517990679,65530,3.042313081,3.2,1.833204234,6.233333333
2018-Q1,0.875239281,80009,0.489020011,3.45,2.027200411,5.9
2018-Q2,0.785105341,87679,0.20843272,3.45,2.282636573,6
2018-Q3,0.690122507,82283,-1.462445581,3.7,2.607361963,5.933333333
2018-Q4,0.340869542,71080,-1.296769139,3.95,2.053752535,5.733333333
2019-Q1,0.07075927,65957,1.606347623,3.95,1.659959759,5.866666667
2019-Q2,0.988110124,94281,0.004727323,3.95,2.181544634,5.7
2019-Q3,0.374026535,103719,2.206205107,3.95,1.918285999,5.8
2019-Q4,0.326868383,77235,-0.846166044,3.95,2.062111801,5.8
2020-Q1,-2.128337649,69133,0.259436791,3.325,1.806036616,6.633333333
2020-Q2,-10.92827339,34070,-13.27768104,2.45,0,13.7
2020-Q3,9.017921364,40116,14.28232024,2.45,0.317770716,10.26666667
2020-Q4,2.130500855,41267,2.678222149,2.45,0.778967868,8.633333333
2021-Q1,1.308902555,70487,3.651405308,2.45,1.458080194,8.6
2021-Q2,-0.588596311,74438,-0.235033669,2.45,3.337423313,8.1
2021-Q3,1.430867107,122911,-3.482440424,2.45,4.093567251,7.133333333
2021-Q4,1.671567869,138190,2.340754119,2.45,4.734299517,6.066666667
2022-Q1,0.592250083,113769,1.695749755,2.65,5.820359281,5.766666667
2022-Q2,0.881775267,118114,-2.267940117,3.6,7.575397768,5.166666667
2022-Q3,0.576116387,122145,-2.200905839,5.2625,7.139513109,5.1
2022-Q4,0.009973958,83152,-0.988937495,6.325,6.642066421,5.2
